skintype,skin_condition,product_type,product_name,brand,notable_effects,picture_src
"Dry, Sensitive","('dry and dehydrated skin', 'redness')",Moisturizer,Missha Premium Cica Aloe Soothing Gel,MISSHA,"('soothing', 'moisturizing')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/3/5/7/33357-large_default.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,Missha All Around Aqua Sun Gel SPF50+/PA++++ ,MISSHA,"('soothing', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/8ae371d4-898d-4e8a-b5e4-cdd123f795e4-image-0-1618814126237"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'sun damage')",Sunscreen,Missha All Around Safe Block Daily Sun SPF50+/PA++++ ,MISSHA,"('anti-aging', 'uv-protection')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/3/5/1/33351-large_default.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Toner,Missha Misa Yei Hyun Toner ,MISSHA,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/c7fa6373-6f7f-4835-9f2b-1425f91ecdc7-image-0-1618299581913"
"Dry, Sensitive","('dry and dehydrated skin',)",Moisturizer,Missha Premium Cica Aloe Soothing Gel ,MISSHA,"('moisturizing',)",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/3/5/7/33357-large_default.jpg
Oily,"('dry and dehydrated skin',)",Moisturizer,Momopuri Face Lotion ,MOMOPURI,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/85890615264-1601539827561.png"
"Normal, Dry","('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,Momopuri Concentrated Face Lotion ,MOMOPURI,"('pore-care', 'brightening', 'anti-aging')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597049010095"
"Normal, Dry","('dry and dehydrated skin',)",Moisturizer,Momopuri Concentrated Face Lotion ,MOMOPURI  ,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597049010095"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Moisturizer,Momopuri Gel Cream ,MOMOPURI,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597048951668"
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Moisturizer,Momopuri Gel Cream,MOMOPURI,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597048951668"
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NACIFIC Pink AHA BHA Serum 50ml Rp 390.000,NACIFIC,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/jual_Pink_AHA_BHA_Serum_50ml_1.jpg
Sensitive,"('wrinkles',)",Serum,NACIFIC Fresh Herb Origin Serum 50ml,NACIFIC,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Nacific_Fresh_Herb_Origin_Serum.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NACIFIC Phyto Niacin Whitening Toner,NACIFIC,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/9c32ecbfdd690c11391dfb873a89199f.jpg
Oily,"('redness', 'skin imbalance')",Toner,NACIFIC Real Floral Toner (Calendula),NACIFIC ,"('soothing', 'balancing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Jual_Nacific_Real_Floral_Toner_Calendula_3.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NACIFIC Pink AHA BHA Toner 150ml,NACIFIC,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NACIFIC_Pink_AHA_BHA_Toner_150ml_1.jpg
"Oily, Combination, Sensitive","('redness', 'oily skin', 'acne')",Face Wash,Nama Beauty Cleanskin Acne Cleansing Gel,NAMA BEAUTY,"('soothing', 'acne-free', 'oil-control')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/ee49aa68-4847-4736-977e-f4a82efe6857-.jpg"
"Oily, Combination, Sensitive","('redness', 'oily skin', 'acne')",Toner,Nama Beauty Freshskin Acne Fresh Toner,NAMA BEAUTY,"('soothing', 'acne-free', 'oil-control')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/1b26dd51-e502-4610-b3f3-0d750436f134-.jpg"
"Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness', 'acne')",Moisturizer,Nama Beauty Careskin Acne Spot Treatment Gel,NAMA BEAUTY,"('soothing', 'acne-free', 'moisturizing')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/82f2f79c-bb58-4178-8809-2c25edbc942f-.jpg"
"Oily, Combination, Sensitive","('redness', 'oily skin', 'acne')",Serum,Nama Beauty Careskin Acne Pron Care Serum,NAMA BEAUTY,"('soothing', 'acne-free', 'oil-control')","https://www.sociolla.com/cdn-cgi/image/w=425,format=auto,dpr=1.45/https://images.soco.id/d914f45c-4c05-4c63-9422-becc9b87a990-.jpg"
Dry,"('wrinkles', 'pigmentation')",Toner,NARUKO Raw Job’s Tears Brightening Toner,NARUKO,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Naruko_Raw_Jobs_Toner_SQ.png
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,NARUKO Tea Tree Shine Control & Blemish Clear Toner 150ml,NARUKO ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Naruko_Tea_Tree_Shine_Control___Blemish_Clear_Toner_150ML.jpg
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,NARUKO Taiwan Magnolia Brightening and Anti-Aging Toner,NARUKO ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Taiwan_Magnolia_Brightening_and_Anti-Aging_Toner_EX_150ML.jpg
"Normal, Dry, Oily, Combination","('pigmentation', 'redness', 'acne')",Face Wash,Jobs Tears Brightening Foaming Wash,NARUKO,"('soothing', 'brightening', 'acne-spot')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Naruko_Raw_Jobs_Face_Wash_SQ.png
"Normal, Dry","('dry and dehydrated skin', 'acne', 'enlarged pores')",Face Wash,Rose Botanic Aqua Cubic Foaming Wash,NARUKO,"('hydrating', 'moisturizing', 'acne-free', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Rose___Botanic_HA_Aqua_Cubic_Foaming_Wash_EX.webp
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Serum,NARUKO Tea Tree Shine Control & Blemish Clear Serum,NARUKO,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Naruko_Tea_Tree_Shine_Control___Blemish_Clear_Serum_30ML.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NATUR Miracle Calming Face Serum : Cica & Witch Hazel,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/7520c42aa63b1672f7024bc179a50dfa.jpg
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Sunscreen,NATUR Miracle Renew Skin Cream SPF 32 ,NATUR,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Renew_Skin_Cream_SPF_32.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NATUR Miracle Renew Skin Hydrating Toner ,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Renew_Skin_Hydrating_Toner_%282%29.png
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'enlarged pores')",Face Wash,Natur Cica Mild Cleanser,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Cica_Mild_Cleanser_100_ml.png
"Normal, Dry","('wrinkles', 'pigmentation', 'enlarged pores')",Face Wash,Natur Aloe Mild Cleanser,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Aloe_Mild_Cleanser_100_ml.png
"Oily, Combination, Sensitive","('wrinkles', 'pigmentation', 'enlarged pores')",Face Wash,Natur Pome Mild Cleanser,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Pome_Mild_Cleanser_100_ml.png
Dry,"('wrinkles', 'pigmentation', 'sun damage')",Sunscreen,NATUR Miracle Calming Cream SPF 32 ,NATUR,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Calming_Cream_SPF_32.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NATUR Miracle Brightening Hydrating Toner,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Brightening_Hydrating_Toner_%282%29.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NATUR Miracle Calming Hydrating Toner,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Calming_Hydrating_Toner_%282%29.png
Oily,"('wrinkles', 'pigmentation', 'sun damage')",Sunscreen,NATUR Miracle Brightening Cream SPF 32 ,NATUR,"('brightening', 'anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Natur_Miracle_Brightening_Cream_SPF_32.png
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NATUR Miracle Renew Skin Face Serum : Ginseng & Probiotic,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/25eb55c1199e6ae34e6e3a59342a18f2.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NATUR Miracle Brightening Face Serum : Vitamin C and Sour Lime,NATUR,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NATUR_Face_Serum_Brightening2.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,Nature Republic California Aloe Fresh Powdery Sun Stick SPF50+ PA++++ ,NATURE REPUBLIC,"('hydrating', 'soothing')",https://naturerepublic.id/uploads/prd-LQIbEhg4Xu3uMucV2M1ePx7VE946JiGr.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,Nature Republic California Aloe Jumbo Sunscreen SPF50+ PA++++,NATURE REPUBLIC,"('hydrating', 'soothing')",https://naturerepublic.id/uploads/prd-5qdeWn3n5IkXTIgm0bse9CHr4Dwxzv7I.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,Nature Republic Green Derma Mild Sun Block SPF50+ PA++++ ,NATURE REPUBLIC,"('hydrating', 'moisturizing')",https://naturerepublic.id/uploads/prd-r1i49Tu0gPAdNkZHzCKwVufnB4rDAFiq.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,Nature Republic California Aloe Ice Puff Sun SPF 50+ PA++++,NATURE REPUBLIC,"('hydrating', 'soothing')",https://naturerepublic.id/uploads/prd-yGF6eH6uCBkk8d0RSkO4O4s2wAc0yZSr.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,Nature Republic California Aloe Cooling Sun Spray SPF 50+ PA++++,NATURE REPUBLIC,"('hydrating', 'moisturizing')",https://naturerepublic.id/uploads/prd-9Q81SErryYq9BzKevQvuuRxIGBZ4r2NR.jpg
"Normal, Dry","('sun damage',)",Sunscreen,Nature Republic California Aloe Sun Liquid SPF50+ PA++++,NATURE REPUBLIC,"('uv-protection',)",https://naturerepublic.id/uploads/prd-koSYoEabl5xJpsB2OcmmacHuFMhLyS1i.jpg
"Normal, Dry, Oily, Combination, Sensitive","('sun damage',)",Sunscreen,Nature Republic Green Derma Mild Cica Big Sun Cushion SPF50+ PA++++ ,NATURE REPUBLIC,"('uv-protection',)",https://naturerepublic.id/uploads/prd-b4sqtonekrygxd0yljssmkbkka3uorr2.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,Nature Republic California Aloe Waterproof Sun Block Spf50+pa++++ ,NATURE REPUBLIC,"('hydrating', 'soothing')",https://naturerepublic.id/uploads/prd-LnecqD6gqqVLZAXQTNTB1VgKUuNbFvVe.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,Nature Republic California Aloe Daily Sun Block SPF50+ PA++++,NATURE REPUBLIC,"('hydrating', 'moisturizing')",https://naturerepublic.id/uploads/prd-Ol9ENQO2m734cw6fwQw1nmc9oHH2gmj9.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Toner,Nature Republic Hyalon Active 10 Toner Set ,NATURE REPUBLIC,"('soothing', 'moisturizing')",https://naturerepublic.id/uploads/prd-S916cPDnGuoD6i55cXjIrMKb3GDtjbep.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Toner,Nature Republic GOOD SKIN COLLAGEN AMPOULE TONER PAD ,NATURE REPUBLIC,"('soothing', 'moisturizing')",https://naturerepublic.id/uploads/prd-y9EZLAWewfsYo7q1XYbEK3Fe31Mh8oFV.jpg
"Normal, Dry","('dry and dehydrated skin', 'redness')",Toner,Nature Republic Ginseng Royal Silk Toner,NATURE REPUBLIC,"('soothing', 'moisturizing')",https://naturerepublic.id/uploads/prd-CjnDQQdJmXep7U9enpYQEQsV5qHoYDpu.jpg
"Normal, Dry","('dry and dehydrated skin',)",Toner,Nature Republic Argan 20 Essential Toner ,NATURE REPUBLIC,"('moisturizing',)",https://naturerepublic.id/uploads/prd-xkLEbiqwmivm08weuasyLU41Aulnn27d.jpg
"Oily, Combination, Sensitive","('acne', 'enlarged pores', 'oily skin')",Toner,Nature Republic Bee Venom Toner,NATURE REPUBLIC,"('acne-free', 'oil-control', 'pore-care')",https://naturerepublic.id/uploads/prd-EJfA0ySKmpJZUhzDUJ8QONAxe4IdwmJO.jpg
"Normal, Dry","('acne', 'enlarged pores', 'oily skin')",Toner,Nature Republic Green Derma Mild Cica Big Toner,NATURE REPUBLIC,"('acne-free', 'oil-control', 'pore-care')",https://naturerepublic.id/uploads/prd-x5g2RfRGTaLN9v0lM4rv898358U6oGej.jpg
"Oily, Combination, Sensitive","('wrinkles', 'pigmentation', 'acne')",Toner,Nature Republic CALENDULA RELIEF TONER,NATURE REPUBLIC,"('acne-free', 'brightening', 'anti-aging')",https://naturerepublic.id/uploads/prd-8f3ysw7fscrmi31pywop5vhonuzevbvc.jpg
"Normal, Dry","('dry and dehydrated skin', 'redness')",Toner,Nature Republic Cell Power Essential Skin,NATURE REPUBLIC,"('soothing', 'moisturizing')",https://naturerepublic.id/uploads/prd-jIz8qANuL6dgjHZCAQeWCf44t9BPcqQf.jpg
"Normal, Dry","('wrinkles', 'pigmentation')",Toner,Nature Republic LOTUS RENEW TONER,NATURE REPUBLIC,"('brightening', 'anti-aging')",https://naturerepublic.id/uploads/prd-cxcvcqbwo06z1ba14eyz2ffus0hjvueu.jpg
Oily,"('dry and dehydrated skin', 'acne', 'oily skin')",Face Wash,NAUFA Face Soap 50 gr,NAUFA,"('hydrating', 'acne-free', 'oil-control')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Jual_Avoskin_NAUFA_Facial_Soap.jpg
"Normal, Dry, Oily, Sensitive","('wrinkles',)",Face Wash,NEOGEN Real Cica Pad,NEOGEN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Real_Cica_Pad.jpg
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'pigmentation')",Face Wash,NEOGEN Bio Peel Gauze Pad Greentea Isi 30pads,NEOGEN,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Bio_Peel_Gauze_Peeling_Green_Tea.jpg
"Normal, Dry","('redness', 'skin imbalance')",Face Wash,NEOGEN Real Fresh Foam Cleanser 160g,NEOGEN,"('soothing', 'balancing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NEOGEN_Real_Fresh_Foam_Cleanser_Green_Tea.jpg
Oily,"('wrinkles',)",Face Wash,Neogen Bio Peel Gauze Pad Wine,NEOGEN,"('anti-aging',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Bio_Peel_Gauze_Peeling_Wine.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum, NEOGEN H2 Dermadeca Serum Spray 120ml ,NEOGEN,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/jual_Neogen_-_H2_Dermadeca_Serum_Spray.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NEOGEN Dermalogy Real Vit C serum ,NEOGEN,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Vita_C.png
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin',)",Sunscreen,Nivea Sun Face Protection Serum Spf 50+ Pa +++ - Instant Aura,NIVEA  ,"('moisturizing',)",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/6/5/6/33656-large_default.jpg
Oily,"('acne', 'enlarged pores', 'oily skin')",Sunscreen,Nivea Sun Face Protection Serum Spf 50+ Pa +++ - Oil Control ,NIVEA  ,"('acne-free', 'oil-control', 'pore-care')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/3/6/5/7/33657-large_default.jpg
Oily,"('wrinkles', 'pigmentation', 'acne')",Face Wash,NIVEA Sparkling White Whitening Facial foam,NIVEA,"('acne-free', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NIVEA_Sparkling_White_Whitening_Facial_Foam_-_100_ml.png
"Dry, Sensitive","('dry and dehydrated skin', 'redness')",Moisturizer,Noola Dew Moisturizer,NOOLA ,"('hydrating', 'soothing')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Noola_Dew_Moisturizer_New.jpg
"Dry, Sensitive","('dry and dehydrated skin',)",Moisturizer,NOOLA Skin Oasis Overnight Mask,NOOLA,"('moisturizing',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Noola-Skin-Oasis.png
"Normal, Dry, Oily, Sensitive","('enlarged pores', 'impaired skin barrier')",Face Wash,NOVEXPERT Express Radiant Cleansing Foam,NOVEXPERT,"('pore-care', 'skin-barrier')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/express_radiant_cleansing_foam_40_ml.jpg
"Normal, Combination","('dry and dehydrated skin', 'acne', 'enlarged pores', 'oily skin')",Face Wash,Clear Skin Foaming Gel,NOVEXPERT,"('hydrating', 'moisturizing', 'acne-free', 'oil-control', 'pore-care')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/celar_skin_foaming_gel_150_g.webp
"Dry, Oily, Sensitive","('sun damage',)",Sunscreen,N'PURE Cica Beat The Sun,N'PURE ,"('uv-protection',)",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NPURE_Cica_Beat_The_Sun.jpg
"Dry, Sensitive","('dry and dehydrated skin',)",Moisturizer,NPure CICA Day Cream ,N'PURE,"('hydrating', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/b544d545-1adc-4712-a00f-9ddb20f2a722-.jpg"
Oily,"('wrinkles', 'sun damage')",Sunscreen,NPURE Cica Beat The Sun Powder ,N'PURE,"('anti-aging', 'uv-protection')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Untitled-removebg-preview.png
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'redness')",Sunscreen,NPure Cica Beat The Sun SPF 50 PA ++++,N'PURE,"('soothing', 'moisturizing')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/94c6dd49-0174-4e46-9d28-c9b966448bc9-image-0-1624852908122"
"Oily, Combination, Sensitive","('acne', 'enlarged pores', 'oily skin')",Sunscreen,NPure Cica Beat The Sun Powder,N'PURE,"('acne-free', 'oil-control', 'pore-care')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/f7068e25-5155-4058-aa0a-8750f9788e02-image-1-1630394779835"
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,NPURE Day Cream Cica,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Npure_Day_Cream_Centella_Asiatica.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,NPURE Cactus Aloe Vera Soothing Gel,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Aloivera_Depan.jpg
Sensitive,"('wrinkles', 'pigmentation', 'enlarged pores')",Moisturizer,NPURE Day & Night Treatment,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Npure_Centella_Asiatica_Bundle_No_Box.jpg
"Normal, Dry, Oily, Combination, Sensitive","('pigmentation', 'redness')",Toner,NPure Face Toner Cica Series,N'PURE,"('soothing', 'brightening')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/1/6/7/3/31673-large_default.jpg
"Oily, Sensitive","('dry and dehydrated skin', 'redness')",Moisturizer,NPure Cactus Aloe Vera Soothing Gel ,N'PURE,"('soothing', 'moisturizing')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/1/6/6/9/31669-large_default.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Face Wash,Npure Marigold Deep Cleansiing Foaming,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Face_Wash_Marigold-Calendula_Serieszzzzzzzzzzz.png
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Face Wash,Npure Cica Series Face Wash,N'PURE,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Facial_Wash_1.png
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'enlarged pores')",Toner,NPURE Face Toner Marigold/Calendula Series,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/MariGold_Face_Toner.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation')",Toner,NPURE Cica Clear Pad,N'PURE,"('brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NPure_Cica_Clear_Pad_Toner_Pads.png
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Toner,NPURE Cica Series Face Toner,N'PURE,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Face_Toner_1.png
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles', 'pigmentation')",Toner,NPure Face Toner Marigold Series (Anti Aging Face Toner) ,N'PURE,"('brightening', 'anti-aging')",https://s3-ap-southeast-1.amazonaws.com/img-sociolla/img/p/3/5/4/4/1/35441-large_default.jpg
Sensitive,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,NPURE Face Serum Marigold/Calendula Series,N'PURE,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/MariGold_Serum_with_box.jpg
Oily,"('dry and dehydrated skin', 'pigmentation')",Serum,NUTRISHE Intensive Bright & Glow Serum 20ml,NUTRISHE,"('moisturizing', 'brightening', 'black-spot')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Nutrishe_Intensive_Bright_Glow_Serum.jpg
Oily,"('pigmentation', 'redness')",Serum,NUTRISHE Intensive Bright & Glow Serum 30ml,NUTRISHE,"('soothing', 'brightening')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/NUTRISHE_SERUM_NO_BOX.jpg
"Normal, Dry, Oily, Combination, Sensitive","('dry and dehydrated skin', 'pigmentation')",Sunscreen,Olay Krim Pencerah - Natural White Light UV-Protection,OLAY,"('moisturizing', 'brightening', 'black-spot')","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1604484041010"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles',)",Moisturizer,Olay Regenerist Revitalising Night Cream,OLAY  ,"('anti-aging',)","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597313890628"
"Normal, Dry, Oily, Combination, Sensitive","('wrinkles',)",Moisturizer,Olay Regenerist Revitalising Night Cream,OLAY,"('anti-aging',)","https://www.soco.id/cdn-cgi/image/w=73,format=auto,dpr=1.45/https://images.soco.id/image-0-1597313890628"
Oily,"('wrinkles', 'pigmentation', 'acne', 'enlarged pores')",Moisturizer,OMNISKIN Cica Res-Q - Night Cream,OMNISKIN ,"('acne-free', 'pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Omniskin_Products_Cica_ResQ_Night_Cream.jpg
Oily,"('wrinkles', 'pigmentation', 'acne')",Moisturizer,OMNISKIN Watermelon Bright Whitening Night Cream 15gr,OMNISKIN,"('acne-free', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Omniskin_Products_Watermelon_Bright_Night_Cream.jpg
"Dry, Oily, Sensitive","('wrinkles', 'pigmentation', 'enlarged pores')",Toner,OMNISKIN Clean Pore Oliy Skin Toner Rp 89.000 (0),OMNISKIN,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Omniskin_Products_Clean_Pore_Toner.jpg
Oily,"('wrinkles', 'pigmentation', 'enlarged pores')",Serum,OMNISKIN Watermelon Glow Waterfull Whitening Serum,OMNISKIN,"('pore-care', 'brightening', 'anti-aging')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Omniskin_Products_Watermelon_Glow_Waterfull_Whitening_Serum_.jpg
"Normal, Oily","('pigmentation', 'acne', 'enlarged pores', 'oily skin')",Serum,OMNISKIN Cica Glow Blemish Skin Whitening Serum,OMNISKIN,"('acne-free', 'oil-control', 'pore-care', 'brightening')",https://www.beautyhaul.com/assets/uploads/products/thumbs/800x800/Cica_Glow_Blemish_Skin_Whitening_Serum.png
